"Dublin.Core.element"	"Description"	"Exemple"
"Title"	"Référence Itineris"	"ITI00001"
"Creator"	"Créateur du contenu du fichier"	"Dupond Albert, Dupuis Jeanne"
"Subject"	"Thème du contenu du fichier"	"Analyses physico-chimiques, 3D"
"Publisher"	"Entité responsable de la mise à disposition ou diffusion du fichier (personne, organisation ou service)"	"AOROC, Universita degli Studi di Torino"
"Contributor"	"Entité responsable de contributions au contenu du fichier (personne, organisation ou service)"	"AOROC, Veronica Cicolani"
"Date"	"Date de la version définitive (date de création du fichier dans sa version partagée)"	"AAAA/MM/JJ"
"Type"	"Nature ou genre du contenu du fichier"	"v. [Type dans le Dublin Core](https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/)"
"Format"	"Matérialisation du fichier (type de medium, dimensions, supports informatiques)"	"Format du fichier, type MIME (si disponible)"
"Identifier"	"Référence univoque au fichier"	"Digital Object Identifier (DOI)"
"Source"	"Référence à une ressource dont le fichier décrit est dérivé"	"Digital Object Identifier (DOI)"
"Language"	"Langue du contenu intellectuel du fichier"	"Code langage"
