"from"	"to"
"1"	"T.2A,ICP-MS analysis"	"WP1"
"2"	"T.2B,Isotopic analysis"	"WP1"
"3"	"T.2B,SEM analysis"	"WP1"
"4"	"T.3,2D/3D X-r imagery"	"WP1"
"5"	"T.4,Inventory/Drawing"	"WP2"
"6"	"T.4,Scan 3D & RTI"	"WP2"
"7"	"T.4,Microscopic analysis"	"WP2"
"8"	"T.5A,Web Database"	"WP3"
"9"	"T.5B,Modelling"	"WP3"
"10"	"CNRS-PSL AOrOc,UMR8546"	"WP1"
"11"	"CNRS-PSL AOrOc,UMR8546"	"WP2"
"12"	"CNRS-PSL AOrOc,UMR8546"	"WP3"
"13"	"C2RMF Louvre"	"WP1"
"14"	"C2RMF Louvre"	"WP2"
"15"	"Musée d'Archéologie,nationale"	"WP1"
"16"	"Musée d'Archéologie,nationale"	"WP2"
"17"	"University of Padua"	"WP1"
"18"	"University of Turin"	"WP1"
"19"	"University of Turin"	"WP2"
"20"	"Musei Reali of Turin"	"WP1"
"21"	"Musei Reali of Turin"	"WP2"
"22"	"Musei Civici of Reggio Emilia"	"WP1"
"23"	"Musei Civici of Reggio Emilia"	"WP2"
"24"	".5"	".5"
