"num"	"object"	"Pb206_Pb204"	"Pb207_Pb204"	"Pb208_Pb204"
"4643_14"	"golasecca"	18.3947	15.6654	38.5434
"4644_14"	"golasecca"	18.6278	15.6719	38.7683
"4645_14"	"golasecca"	18.2467	15.6618	38.4075
"4646_14"	"golasecca"	18.3086	15.652	38.488
"4647_14"	"golasecca"	18.3199	15.6615	38.5409
"4649_14"	"golasecca"	18.3047	15.6585	38.5095
"4650_14"	"golasecca"	18.4166	15.6664	38.5654
"4651_14"	"golasecca"	18.5333	15.6719	38.6984
"4652_14"	"golasecca"	18.7579	15.6865	38.9679
"4653_14"	"golasecca"	18.422	15.6543	38.4936
"4654_14"	"golasecca"	18.3882	15.6691	38.5349
"4655_14"	"golasecca"	18.4201	15.6884	38.633
"4217_08"	"hochdorf"	18.4842	15.7006	38.7103
"4218_08"	"hochdorf"	18.3996	15.6362	38.4156
"4220_08"	"hochdorf"	18.4705	15.6584	38.6103
"4221_08"	"hochdorf"	18.3876	15.6443	38.4833
"4222_08"	"hochdorf"	18.4062	15.6654	38.5459
"4223_08"	"hochdorf"	18.3135	15.6226	38.4219
"4224_08"	"hochdorf"	18.3988	15.6579	38.5862
"4225_08"	"hochdorf"	18.4146	15.6806	38.6053
"4226_08"	"hochdorf"	18.3543	15.6781	38.5205
"4227_08"	"hochdorf"	18.3882	15.6644	38.5944
"4228_08"	"hochdorf"	18.3226	15.6663	38.5194
"4229_08"	"hochdorf"	18.3178	15.6726	38.4705
"4230_08"	"hochdorf"	18.4515	15.656	38.5904
"4231_08"	"hochdorf"	18.3386	15.6679	38.5063
"4232_08"	"hochdorf"	18.3738	15.6632	38.5361
"4233_08"	"hochdorf"	18.2948	15.7661	38.5598
"4235_08"	"hochdorf"	18.3382	15.6645	38.4494
"4237_08"	"hochdorf"	18.3058	15.7883	38.7619
"4238_08"	"hochdorf"	18.355	15.789	38.7932
"4240_08"	"hochdorf"	18.2513	15.6573	38.3435
"4353_09"	"hochdorf"	18.3547	15.6524	38.4521
"4354_09"	"hochdorf"	18.5003	15.6798	38.6604
"4355_09"	"hochdorf"	18.4959	15.6622	38.5538
"4356_09"	"hochdorf"	18.3643	15.6723	38.4847
"4357_09"	"hochdorf"	18.6038	15.7524	38.9458
"4358_09"	"hochdorf"	18.5548	15.6831	38.6614
"4654_12"	"hochdorf"	18.492	15.6775	38.6636
"4655_12"	"hochdorf"	18.6694	15.6895	38.8779
"4656_12"	"hochdorf"	18.4931	15.68	38.6688
"4657_12"	"hochdorf"	18.4863	15.6715	38.6476
"4658_12"	"hochdorf"	18.5086	15.679	38.6785
"4659_12"	"hochdorf"	18.6667	15.6907	38.876
"4660_12"	"hochdorf"	18.5033	15.6821	38.6844
"4661_12"	"hochdorf"	18.6712	15.6908	38.8798
"4662_12"	"hochdorf"	18.673	15.6926	38.8857
"4663_12"	"hochdorf"	18.6676	15.6894	38.8761
"4664_12"	"hochdorf"	18.6752	15.6928	38.8859
"4665_12"	"hochdorf"	18.2799	15.6409	38.3836
"4666_12"	"hochdorf"	18.3486	15.6499	38.482
"4667_12"	"hochdorf"	18.2048	15.6287	38.2467
"4668_12"	"hochdorf"	18.346	15.6467	38.4711
"4669_12"	"hochdorf"	18.6697	15.6894	38.8749
"4670_12"	"hochdorf"	18.3442	15.6468	38.4694
"4671_12"	"hochdorf"	18.3465	15.6491	38.4779
"4672_12"	"hochdorf"	18.6721	15.6917	38.8869
"4673_12"	"hochdorf"	18.3428	15.6442	38.4635
"4674_12"	"hochdorf"	18.1473	15.6023	38.1397
"4675_12"	"hochdorf"	18.3146	15.645	38.4329
"4676_12"	"hochdorf"	18.5702	15.6625	38.6213
"4677_12"	"hochdorf"	18.2332	15.6372	38.2991
"4678_12"	"hochdorf"	18.1994	15.632	38.2497
"4679_12"	"hochdorf"	18.7293	15.683	38.8142
"4681_12"	"hochdorf"	18.2883	15.6638	38.5191
"4682_12"	"hochdorf"	18.1839	15.6263	38.2204
"4683_12"	"hochdorf"	18.3526	15.6693	38.5601
"4684_12"	"hochdorf"	18.3518	15.6691	38.5572
"4685_12"	"hochdorf"	18.2065	15.6358	38.256
"4686_12"	"hochdorf"	18.6615	15.6924	38.8696
"4687_12"	"hochdorf"	18.1832	15.6253	38.2164
"4688_12"	"hochdorf"	18.1807	15.6242	38.2131
"4689_12"	"hochdorf"	18.2252	15.6359	38.2843
"4690_12"	"hochdorf"	18.2058	15.6352	38.2522
"4691_12"	"hochdorf"	18.1884	15.6228	38.2171
"4808_13"	"hochdorf"	18.674	15.6676	38.7599
"4809_13"	"hochdorf"	18.6941	15.6699	38.7857
"4810_13"	"hochdorf"	18.6968	15.6634	38.7266
"4811_13"	"hochdorf"	18.7033	15.6608	38.7223
"4812_13"	"hochdorf"	18.6848	15.664	38.7194
